P(appeared|indians) = 1.011525
P(as|indicated alternatively) = 1.011660
P(alternatively|indicated) = 1.011525
P(ruy|indies under) = 1.011660
P(under|indies) = 1.011525
P(people|indigenous mixtec) = 1.011660
P(was|indigenous people) = 1.011660
P(as|indigenous woman) = 1.011660
P(woman|indigenous) = 0.337175
P(developed|infected and) = 1.011660
P(and|infected) = 1.011525
P(infected|injury became) = 1.011660
P(became|injury) = 1.011525
P(the|investigations of) = 1.011660
P(of|investigations) = 1.011525
P(s|investigator andr) = 1.011660
P(andr|investigator) = 1.011525
P(summary|is a) = 1.011660
P(ancient|is an) = 1.011660
P(shrouded|is frequently) = 1.011660
P(of|is known) = 1.011660
P(that|is likely) = 1.011660
P(san|is now) = 1.011660
P(region|is the) = 1.011660
P(which|is uncertain) = 1.011660
P(|is unknown) = 1.011660
P(unknown|is) = 0.112392
P(great|island a) = 1.011660
P(the|island before) = 1.011660
P(second|island his) = 1.011660
P(7|island october) = 1.011660
P(october|island on) = 1.011660
P(overwinter|island to) = 1.011660
P(named|island was) = 1.011660
P(they|island which) = 1.011660
P(which|island) = 0.126441
P(october|islands in) = 1.011660
P(anchored|islands mostly) = 1.011660
P(mostly|islands) = 0.505763
P(tierra|islas y) = 1.011660
P(y|islas) = 1.011525
P(de|it bahia) = 1.011660
